split_depth,num_tasks,branches,seq_time,par_mean,speedup,efficiency
1,2,919442,0.690742,1.184386,0.5832,0.0729
2,4,919442,0.690742,0.975444,0.7081,0.0885
3,8,919442,0.690742,0.870894,0.7931,0.0991
4,16,919442,0.690742,0.845262,0.8172,0.1021
5,32,919442,0.690742,1.012665,0.6821,0.0853
6,64,919442,0.690742,0.894674,0.7721,0.0965
7,128,919442,0.690742,0.912987,0.7566,0.0946
8,256,919442,0.690742,0.972246,0.7105,0.0888
9,512,919442,0.690742,1.086988,0.6355,0.0794
10,1024,919442,0.690742,1.113438,0.6204,0.0775
11,2048,919442,0.690742,1.079633,0.6398,0.0800
12,4096,919442,0.690742,1.082517,0.6381,0.0798
