split_depth,num_tasks,branches,seq_time,par_mean,speedup,efficiency
1,2,919442,0.024465,0.023963,1.0209,0.1276
2,4,919442,0.024465,0.013081,1.8703,0.2338
3,8,919442,0.024465,0.009111,2.6851,0.3356
4,16,919442,0.024465,0.010084,2.4262,0.3033
5,32,919442,0.024465,0.009205,2.6577,0.3322
6,64,919442,0.024465,0.008101,3.0201,0.3775
7,128,919442,0.024465,0.010230,2.3916,0.2989
8,256,919442,0.024465,0.009683,2.5265,0.3158
9,512,919442,0.024465,0.011471,2.1327,0.2666
10,1024,919442,0.024465,0.014539,1.6827,0.2103
11,2048,919442,0.024465,0.011963,2.0451,0.2556
12,4096,919442,0.024465,0.011960,2.0456,0.2557
