cores,run,time,branches
1,1,4.813300,8464173
1,2,4.812630,8464173
1,3,4.829420,8464173
1,4,5.100690,8464173
1,5,4.945420,8464173
1,6,4.889460,8464173
1,7,4.642620,8464173
1,8,4.682330,8464173
1,9,4.743840,8464173
1,10,4.660880,8464173
2,1,4.633220,8464173
2,2,4.648630,8464173
2,3,4.679450,8464173
2,4,4.747860,8464173
2,5,4.774650,8464173
2,6,4.793940,8464173
2,7,4.819600,8464173
2,8,4.857830,8464173
2,9,4.855140,8464173
2,10,4.881920,8464173
4,1,3.325720,8464173
4,2,3.673780,8464173
4,3,3.720660,8464173
4,4,3.717580,8464173
4,5,3.688000,8464173
4,6,3.743690,8464173
4,7,3.839650,8464173
4,8,3.724210,8464173
4,9,3.707970,8464173
4,10,3.708070,8464173
8,1,3.687810,8464173
8,2,4.015410,8464173
8,3,4.010870,8464173
8,4,4.145990,8464173
8,5,3.962700,8464173
8,6,4.020960,8464173
8,7,4.012690,8464173
8,8,4.047020,8464173
8,9,3.977720,8464173
8,10,4.156950,8464173
