cores,run,time,branches
1,1,0.268860,8464173
1,2,0.237350,8464173
1,3,0.242220,8464173
1,4,0.257770,8464173
1,5,0.255640,8464173
1,6,0.236940,8464173
1,7,0.240340,8464173
1,8,0.238230,8464173
1,9,0.234820,8464173
1,10,0.237720,8464173
2,1,0.138210,8464173
2,2,0.140830,8464173
2,3,0.166150,8464173
2,4,0.144920,8464173
2,5,0.151880,8464173
2,6,0.149590,8464173
2,7,0.162630,8464173
2,8,0.157910,8464173
2,9,0.142420,8464173
2,10,0.155950,8464173
4,1,0.085410,8464173
4,2,0.092810,8464173
4,3,0.089210,8464173
4,4,0.094550,8464173
4,5,0.091100,8464173
4,6,0.090060,8464173
4,7,0.102860,8464173
4,8,0.098270,8464173
4,9,0.084730,8464173
4,10,0.090620,8464173
8,1,0.061980,8464173
8,2,0.072770,8464173
8,3,0.071730,8464173
8,4,0.075920,8464173
8,5,0.081230,8464173
8,6,0.072840,8464173
8,7,0.069890,8464173
8,8,0.146220,8464173
8,9,0.074600,8464173
8,10,0.073430,8464173
