cores,run,time,branches
1,1,0.001870,3360
1,2,0.001790,3360
1,3,0.001730,3360
1,4,0.001700,3360
1,5,0.001770,3360
1,6,0.001810,3360
1,7,0.001710,3360
1,8,0.002650,3360
1,9,0.002850,3360
1,10,0.002250,3360
2,1,0.377930,6931
2,2,0.310770,6931
2,3,0.311440,6931
2,4,0.318950,6931
2,5,0.311960,6931
2,6,0.324430,6931
2,7,0.321330,6931
2,8,0.304300,6931
2,9,0.324740,6931
2,10,0.318820,6931
4,1,0.371630,13695
4,2,0.387740,13695
4,3,0.375950,13695
4,4,0.368480,13695
4,5,0.368780,13695
4,6,0.377300,13695
4,7,0.374790,13695
4,8,0.374890,13695
4,9,0.385040,13695
4,10,0.375470,13695
8,1,0.538550,27990
8,2,0.537270,27990
8,3,0.566740,27990
8,4,0.555490,27990
8,5,0.545710,27990
8,6,0.602290,27990
8,7,0.609980,27990
8,8,0.614750,27990
8,9,0.629080,27990
8,10,0.695100,27990
