cores,run,time,branches
1,1,0.000140,3360
1,2,0.000250,3360
1,3,0.000270,3360
1,4,0.000220,3360
1,5,0.000210,3360
1,6,0.000150,3360
1,7,0.000210,3360
1,8,0.000280,3360
1,9,0.000280,3360
1,10,0.000210,3360
2,1,0.000430,6931
2,2,0.000490,6931
2,3,0.000350,6931
2,4,0.000350,6931
2,5,0.000350,6931
2,6,0.000750,6931
2,7,0.000320,6931
2,8,0.000290,6931
2,9,0.000470,6931
2,10,0.000500,6931
4,1,0.000600,13695
4,2,0.000450,13695
4,3,0.000630,13695
4,4,0.000540,13695
4,5,0.000400,13695
4,6,0.000410,13695
4,7,0.000420,13695
4,8,0.000540,13695
4,9,0.000890,13695
4,10,0.000420,13695
8,1,0.000870,27990
8,2,0.000690,27990
8,3,0.003710,27990
8,4,0.000710,27990
8,5,0.000670,27990
8,6,0.000780,27990
8,7,0.000720,27990
8,8,0.000640,27990
8,9,0.001690,27990
8,10,0.003360,27990
