cores,run,time,branches
1,1,4.898740,8388607
1,2,4.959080,8388607
1,3,4.285630,8388607
1,4,4.321470,8388607
1,5,4.366560,8388607
1,6,4.450490,8388607
1,7,4.471640,8388607
1,8,4.586180,8388607
1,9,4.554160,8388607
1,10,4.402240,8388607
2,1,4.803520,8388607
2,2,4.704040,8388607
2,3,4.670220,8388607
2,4,5.388630,8388607
2,5,5.148280,8388607
2,6,4.913840,8388607
2,7,4.958530,8388607
2,8,4.812070,8388607
2,9,5.048490,8388607
2,10,5.532280,8388607
4,1,4.090690,8388607
4,2,4.630720,8388607
4,3,4.172320,8388607
4,4,4.067060,8388607
4,5,3.893920,8388607
4,6,3.743610,8388607
4,7,3.901770,8388607
4,8,3.968450,8388607
4,9,3.850260,8388607
4,10,3.788510,8388607
8,1,4.242380,8388607
8,2,4.054500,8388607
8,3,3.939170,8388607
8,4,3.952640,8388607
8,5,4.050930,8388607
8,6,3.929000,8388607
8,7,3.907890,8388607
8,8,3.990280,8388607
8,9,4.010760,8388607
8,10,3.898050,8388607
