split_depth,n_seq,num_tasks,n_parallel,max_task,mean_task,imbalance,t_ideal,t_dynamic
1,1,2,8388606,4194303,4194303.0,1.0,8388607,8388607
2,3,4,8388604,2097151,2097151.0,1.0,8388607,8388607
3,7,8,8388600,1048575,1048575.0,1.0,8388607,8388607
4,15,16,8388592,524287,524287.0,1.0,8388607,8388607
5,31,32,8388576,262143,262143.0,1.0,8388607,8388607
6,63,64,8388544,131071,131071.0,1.0,8388607,8388607
7,127,128,8388480,65535,65535.0,1.0,8388607,8388607
8,255,256,8388352,32767,32767.0,1.0,8388607,8388607
9,511,512,8388096,16383,16383.0,1.0,8388607,8388607
10,1023,1024,8387584,8191,8191.0,1.0,8388607,8388607
11,2047,2048,8386560,4095,4095.0,1.0,8388607,8388607
12,4095,4096,8384512,2047,2047.0,1.0,8388607,8388607
