cores,run,time,branches
1,1,4.865840,8388607
1,2,4.469540,8388607
1,3,4.225110,8388607
1,4,4.271580,8388607
1,5,4.833780,8388607
1,6,4.584000,8388607
1,7,4.425000,8388607
1,8,4.467480,8388607
1,9,4.398370,8388607
1,10,4.718750,8388607
2,1,4.766870,8388607
2,2,4.725690,8388607
2,3,4.685520,8388607
2,4,4.666930,8388607
2,5,4.682950,8388607
2,6,5.150090,8388607
2,7,4.997590,8388607
2,8,5.114370,8388607
2,9,5.184320,8388607
2,10,4.942890,8388607
4,1,3.760770,8388607
4,2,3.835140,8388607
4,3,3.727750,8388607
4,4,4.805000,8388607
4,5,4.657250,8388607
4,6,3.869150,8388607
4,7,4.096300,8388607
4,8,4.113370,8388607
4,9,4.812840,8388607
4,10,4.834510,8388607
8,1,4.254430,8388607
8,2,4.379990,8388607
8,3,4.234880,8388607
8,4,4.300010,8388607
8,5,4.633380,8388607
8,6,4.435440,8388607
8,7,4.503210,8388607
8,8,4.160710,8388607
8,9,4.136390,8388607
8,10,4.149640,8388607
