cores,run,time,branches
1,1,0.206350,8388607
1,2,0.223400,8388607
1,3,0.202010,8388607
1,4,0.192620,8388607
1,5,0.235020,8388607
1,6,0.202650,8388607
1,7,0.207260,8388607
1,8,0.202540,8388607
1,9,0.194390,8388607
1,10,0.203930,8388607
2,1,0.105370,8388607
2,2,0.132690,8388607
2,3,0.110060,8388607
2,4,0.111710,8388607
2,5,0.116630,8388607
2,6,0.111250,8388607
2,7,0.114900,8388607
2,8,0.111450,8388607
2,9,0.113600,8388607
2,10,0.121080,8388607
4,1,0.066270,8388607
4,2,0.079420,8388607
4,3,0.082260,8388607
4,4,0.074400,8388607
4,5,0.079640,8388607
4,6,0.082510,8388607
4,7,0.085470,8388607
4,8,0.070000,8388607
4,9,0.085660,8388607
4,10,0.074570,8388607
8,1,0.054700,8388607
8,2,0.062920,8388607
8,3,0.063650,8388607
8,4,0.061720,8388607
8,5,0.062000,8388607
8,6,0.062270,8388607
8,7,0.064490,8388607
8,8,0.064450,8388607
8,9,0.063370,8388607
8,10,0.061410,8388607
