cores,run,time,branches
1,1,0.011310,16383
1,2,0.009580,16383
1,3,0.009740,16383
1,4,0.011410,16383
1,5,0.012290,16383
1,6,0.009980,16383
1,7,0.009430,16383
1,8,0.009950,16383
1,9,0.009880,16383
1,10,0.009490,16383
2,1,0.666300,32767
2,2,0.515680,32767
2,3,0.556060,32767
2,4,0.363410,32767
2,5,0.330310,32767
2,6,0.338110,32767
2,7,0.350400,32767
2,8,0.364740,32767
2,9,0.327410,32767
2,10,0.335650,32767
4,1,0.426160,65535
4,2,0.422730,65535
4,3,0.422410,65535
4,4,0.425760,65535
4,5,0.516490,65535
4,6,0.429990,65535
4,7,0.426850,65535
4,8,0.441480,65535
4,9,0.565030,65535
4,10,0.558620,65535
8,1,0.664930,131071
8,2,0.660040,131071
8,3,0.668480,131071
8,4,0.636210,131071
8,5,0.667660,131071
8,6,0.782590,131071
8,7,0.670110,131071
8,8,0.763280,131071
8,9,0.766240,131071
8,10,0.753760,131071
