cores,run,time,branches
1,1,0.023600,1048575
1,2,0.025360,1048575
1,3,0.022240,1048575
1,4,0.024050,1048575
1,5,0.023710,1048575
1,6,0.024450,1048575
1,7,0.025070,1048575
1,8,0.024270,1048575
1,9,0.024030,1048575
1,10,0.025750,1048575
2,1,0.026020,2097151
2,2,0.027750,2097151
2,3,0.026550,2097151
2,4,0.027810,2097151
2,5,0.025890,2097151
2,6,0.031210,2097151
2,7,0.030260,2097151
2,8,0.027090,2097151
2,9,0.025520,2097151
2,10,0.028050,2097151
4,1,0.026940,4194303
4,2,0.032590,4194303
4,3,0.039470,4194303
4,4,0.043120,4194303
4,5,0.045320,4194303
4,6,0.040150,4194303
4,7,0.037160,4194303
4,8,0.036960,4194303
4,9,0.039730,4194303
4,10,0.032740,4194303
8,1,0.057740,8388607
8,2,0.081050,8388607
8,3,0.067760,8388607
8,4,0.059670,8388607
8,5,0.057190,8388607
8,6,0.061360,8388607
8,7,0.061170,8388607
8,8,0.060500,8388607
8,9,0.062720,8388607
8,10,0.063160,8388607
